time; o_metric; dfl_metric; v_metric; fit_cluster
6.144;  0.948414; 0.33452; 0.190181; 0.0603375
6.16;  0.947677; 0.334547; 0.18912; 0.0599591
6.176;  0.947116; 0.334572; 0.190536; 0.060377
6.192;  0.946622; 0.334605; 0.189592; 0.0600522
6.208;  0.946875; 0.334645; 0.186284; 0.0590272
6.224;  0.945882; 0.334668; 0.187942; 0.0594941
6.24;  0.94481; 0.334696; 0.187705; 0.0593569
6.256;  0.94615; 0.334742; 0.183065; 0.0579796
6.272;  0.945751; 0.334762; 0.18616; 0.0589387
6.288;  0.944743; 0.334791; 0.189716; 0.0600056
6.304;  0.944626; 0.334832; 0.191487; 0.0605656
6.32;  0.943649; 0.33486; 0.191025; 0.060362
6.336;  0.943082; 0.334891; 0.18794; 0.0593571
6.352;  0.943273; 0.334922; 0.186394; 0.058886
6.368;  0.942463; 0.334957; 0.192437; 0.0607496
6.384;  0.941835; 0.334973; 0.19031; 0.0600406
6.4;  0.942793; 0.335023; 0.182243; 0.0575627
6.416;  0.943786; 0.335064; 0.178925; 0.0565812
6.432;  0.943566; 0.335102; 0.184024; 0.0581867
6.448;  0.942644; 0.335122; 0.19624; 0.0619923
6.464;  0.941796; 0.335152; 0.187235; 0.0590998
6.48;  0.941681; 0.335181; 0.187338; 0.0591301
6.496;  0.941091; 0.33521; 0.194835; 0.0614632
6.512;  0.940314; 0.335229; 0.193393; 0.0609615
6.528;  0.940565; 0.335269; 0.183541; 0.0578782
6.544;  0.940505; 0.335311; 0.183543; 0.0578824
6.56;  0.940482; 0.335345; 0.188877; 0.0595692
6.576;  0.939182; 0.335356; 0.197302; 0.0621422
6.592;  0.937893; 0.335387; 0.193621; 0.0609048
6.608;  0.938677; 0.335422; 0.189593; 0.0596938
6.624;  0.939281; 0.33546; 0.186862; 0.0588786
6.64;  0.937582; 0.335474; 0.191724; 0.0603038
6.656;  0.937997; 0.335502; 0.190774; 0.0600365
6.672;  0.937167; 0.335513; 0.189942; 0.059724
6.688;  0.93778; 0.335526; 0.186383; 0.0586455
6.704;  0.936993; 0.335524; 0.19647; 0.0617668
6.72;  0.938044; 0.335567; 0.18401; 0.0579222
6.736;  0.939095; 0.335599; 0.184841; 0.0582543
6.752;  0.93799; 0.335595; 0.194808; 0.0613227
6.768;  0.937258; 0.335614; 0.192078; 0.0604193
6.784;  0.938012; 0.335644; 0.182482; 0.0574522
6.8;  0.937932; 0.335659; 0.187702; 0.0590934
6.816;  0.93846; 0.335676; 0.183911; 0.0579354
6.832;  0.938355; 0.335705; 0.184014; 0.0579665
6.848;  0.93948; 0.335751; 0.182234; 0.0574823
6.864;  0.93884; 0.335771; 0.191844; 0.0604758
6.88;  0.940122; 0.335795; 0.186504; 0.0588771
6.896;  0.940023; 0.33582; 0.185434; 0.0585376
6.912;  0.939794; 0.335849; 0.184487; 0.0582293
6.928;  0.940295; 0.335893; 0.183893; 0.0580804
6.944;  0.9391; 0.335902; 0.194097; 0.061227
6.96;  0.939086; 0.33593; 0.188643; 0.0595107
6.976;  0.938562; 0.335943; 0.187343; 0.0590699
6.992;  0.938837; 0.335973; 0.185681; 0.058568
7.008;  0.937477; 0.33599; 0.19113; 0.0602028
7.024;  0.936858; 0.336019; 0.188761; 0.0594222
7.04;  0.936234; 0.336038; 0.188642; 0.0593487
7.056;  0.935354; 0.336049; 0.191366; 0.0601512
7.072;  0.935052; 0.336077; 0.186384; 0.058571
7.088;  0.93457; 0.3361; 0.190071; 0.0597031
7.104;  0.934404; 0.336119; 0.18995; 0.0596577
7.12;  0.933824; 0.336141; 0.191015; 0.059959
7.136;  0.934031; 0.336169; 0.185443; 0.0582277
7.152;  0.933629; 0.336195; 0.187586; 0.0588798
7.168;  0.932504; 0.336205; 0.19114; 0.0599247
7.184;  0.932114; 0.336234; 0.185323; 0.0580819
7.2;  0.930466; 0.336245; 0.193751; 0.0606177
7.216;  0.930717; 0.33628; 0.178328; 0.0558135
7.232;  0.929935; 0.336309; 0.186392; 0.0582935
7.248;  0.929964; 0.336346; 0.1851; 0.0578973
7.264;  0.929377; 0.336353; 0.19019; 0.0594532
7.28;  0.929779; 0.33638; 0.186276; 0.0582597
7.296;  0.928555; 0.3364; 0.186152; 0.0581476
7.312;  0.92847; 0.336423; 0.191967; 0.0599625
7.328;  0.928677; 0.336447; 0.186402; 0.0582412
7.344;  0.928603; 0.336472; 0.186981; 0.0584221
7.36;  0.927606; 0.336497; 0.187215; 0.0584365
7.376;  0.928607; 0.33652; 0.182004; 0.0568753
7.392;  0.928715; 0.336563; 0.181882; 0.056851
7.408;  0.928885; 0.336595; 0.18235; 0.057013
7.424;  0.928374; 0.336623; 0.194096; 0.0606574
7.44;  0.929003; 0.336667; 0.182948; 0.0572195
7.456;  0.928345; 0.336684; 0.183774; 0.0574401
7.472;  0.928117; 0.336716; 0.185794; 0.0580626
7.488;  0.928285; 0.336755; 0.179275; 0.056042
7.504;  0.928154; 0.33678; 0.183194; 0.0572635
7.52;  0.927368; 0.336799; 0.186384; 0.0582147
7.536;  0.927022; 0.336819; 0.187931; 0.0586792
7.552;  0.926944; 0.33683; 0.187576; 0.0585657
7.568;  0.927167; 0.336882; 0.180103; 0.0562542
7.584;  0.926197; 0.336903; 0.192329; 0.0600141
7.6;  0.925997; 0.336931; 0.191732; 0.0598199
7.616;  0.925264; 0.336971; 0.189231; 0.0589998
7.632;  0.924867; 0.336995; 0.181994; 0.0567233
